d_B,class,N,mean,sem
4,product,500,0.2104425345826657,0.007473060949602575
6,product,333,0.18009003614444974,0.00810648925226449
8,product,250,0.16364943565033313,0.008044612899085427
10,product,200,0.17076550218798559,0.009324447631319293
12,product,166,0.15161054945721716,0.009509210691468989
16,product,125,0.13270323951633764,0.00974830779180002
24,product,83,0.10410704677827505,0.008565062869722131
32,product,62,0.10657213127152469,0.01049269962774289
4,haar,500,0.018492871113144346,0.000756031659740508
6,haar,333,0.01138159681431727,0.0005825889928997253
8,haar,250,0.0074453251795065095,0.000361660094230937
10,haar,200,0.006014107862088214,0.00033249987899234006
12,haar,166,0.004649977823704828,0.0002746174195451591
16,haar,125,0.002527842871070071,0.00018379916174955055
24,haar,83,0.0015096964332449085,0.00012695741460493645
32,haar,62,0.001111022561580122,0.00011243802429321665
