config,metric,alpha,alpha_lo,alpha_hi,R2
A,E_ovl,-1.024783439530933,-1.0959351526974237,-0.9536317263644423,0.9951924016374721
A,E_td,0.03611079680245932,0.005272719347450737,0.0669488742574679,0.5777582324004111
A,E_S,0.058759752594175485,0.007146825035940524,0.11037268015241045,0.5639635997430053
B,E_ovl,-0.9789152346338281,-1.034817707382312,-0.9230127618853443,0.9975384501092127
B,E_td,-0.000985397714506231,-0.029034479183135634,0.02706368375412317,0.0016284366962688868
B,E_S,-0.05891389510410816,-0.11993123334282585,0.0021034431346095353,0.5519776547420142
C,E_ovl,-0.9858961484757235,-1.0628718493641485,-0.9089204475872985,0.9939282400135298
C,E_td,0.029584321206265474,0.0060218941523303045,0.053146748260200646,0.6113704207583345
C,E_S,0.11175916863080021,0.03385662796698803,0.1896617092946124,0.6725342280589344
